"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Retrograde endocannabinoid signaling","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04723
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"GABAergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04727
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Morphine addiction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05032
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Nicotine addiction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05033
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Neurotransmitter receptors and postsynaptic signal transmission","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112314
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Transmission across Chemical Synapses","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112315
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"GABA receptor activation","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-977443
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"GABA A receptor activation","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-977441
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"Prader-Willi and Angelman Syndrome","WikiPathways Pathway",http://www.wikipathways.org/instance/WP3998_r96172
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"GABA receptor Signaling","WikiPathways Pathway",http://www.wikipathways.org/instance/WP4159_r94955
https://pharos.nih.gov/idg/targets/P28472,P28472,"Serotonergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04726
https://pharos.nih.gov/idg/targets/P28472,P28472,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P28472,P28472,"Retrograde endocannabinoid signaling","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04723
