"URL","Uniprot ID","DOID","Name","Description","ZScore","Confidence","Source"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D190,Schizophrenia,,5.111,2.6,DisGeNET
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D192,Migraine,,5.554,2.8,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D4804,"Cluster headache syndrome",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D4806,"Migraine Prevention",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D194,"Postabortal Hemorrhage",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D193,"Postpartum hemorrhage",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,IDG:D4805,"Vascular headache",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:1790,"malignant mesothelioma",,0.0,1.84933606254898E-4,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:305,Carcinoma,,0.0,0.9,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:303,"substance-related disorder",,0.0,1.1,"JensenLab Experiment DistiLD"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:10652,"Alzheimer's disease",,4.03,2.0,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:10914,"Amnestic disorder",,4.027,2.0,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P30939,P30939,DOID:1307,Dementia,,3.205,1.6,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:10763,Hypertension,,3.601,1.8,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D2053,Cardiomegaly,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D1506,"Drug-Related Side Effects and Adverse Reactions",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:4079,"Heart Valve Diseases",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D1342,"Heart failure",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:6432,"Hypertension, Pulmonary",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D1473,"Adverse reaction to drug",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:4079,"Heart valve disease",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D37,"Hypertensive disease",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:6432,"Pulmonary hypertension",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D192,Migraine,,4.498,2.2,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:2449,Acromegaly,,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:13938,Amenorrhea,,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D5319,"Chronic thromboembolic pulmonary hypertension",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D478,"Major Depressive Disorder",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D4806,"Migraine Prevention",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:6432,"pulmonary arterial hypertension",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:1790,"malignant mesothelioma",,0.0,1.07201459893045E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:8893,psoriasis,,0.0,1.14335535347243E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:3948,"adrenocortical carcinoma",,0.0,1.30625057068106E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:3347,osteosarcoma,,0.0,1.11414782557577E-4,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:3008,"invasive ductal carcinoma",,0.0,0.0126695105277937,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:6000,"non diabetic and post-ischemic heart failure",,0.0,0.043947681665387,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:305,Carcinoma,,0.0,0.7,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:114,"Heart disease",,3.935,2.0,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:9778,"Irritable bowel syndrome",,3.787,1.9,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41595,P41595,IDG:D190,Schizophrenia,,3.432,1.7,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:13868,"Hypoactive sexual desire disorder",,3.307,1.7,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41595,P41595,DOID:9970,Obesity,,3.015,1.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D5179,"Adrenal Hyperplasia, Congenital",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D2958,Anorexia,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D5180,"Arrhythmias, Cardiac",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D397,"Atrial Fibrillation",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,DOID:6713,Stroke,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D825,Tachycardia,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D224,"Bipolar Disorder",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D1339,"Cardiac Arrhythmia",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D685,"Cerebrovascular accident",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q13639,Q13639,DOID:0050811,"Congenital adrenal hyperplasia",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D245,"Depressive disorder",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q13639,Q13639,IDG:D244,"Mental Depression",,0.0,0.0,DisGeNET
